User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
Bmchan,Bmchan (10),Phillipp Mwene,Ibrahim Sangare,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Mario Gotze,Mauro Junior,Olivier Boscagli,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (11),Ibrahim Sangare,Phillipp Mwene,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Mario Gotze,Mauro Junior,Olivier Boscagli,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
"BODHR90
SUPERSTARS","BODHR90
SUPERSTARS (1)",Cody Gakpo,Ibrahim Sangare,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
Bora Tanuj,Bora Tanuj (1),Mario Gotze,Ibrahim Sangare,Bruno Martins Indi,Cody Gakpo,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Phillipp Mwene,Ritsu Doan,Yukinari Sugawara,Yvon Mvogo
BORADE218QR,BORADE218QR (1),Cody Gakpo,Ritsu Doan,Armando Obispo,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Joey Veerman,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
boys MR,boys MR (1),Cody Gakpo,Mario Gotze,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Joey Veerman,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
brAbhAirishAl9861,brAbhAirishAl9861 (1),Jesper Karlsson,Vangelis Pavlidis,Cody Gakpo,Fredrik Midtsjo,Joey Veerman,Jordy Clasie,Owen Wijndal,Pantelis Chatzidiakos,Phillipp Mwene,Yukinari Sugawara,Yvon Mvogo
Brajesh25102001,Brajesh25102001 (1),Cody Gakpo,Phillipp Mwene,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
Bramhan Vaani,Bramhan Vaani (1),Mauro Junior,Ritsu Doan,Armando Obispo,Cody Gakpo,Dani De Wit,Hakon Evjen,Jordan Teze,Jordy Clasie,Olivier Boscagli,Peter Vindahl,Phillipp Mwene
Bright starz,Bright starz (1),Phillipp Mwene,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Hakon Evjen,Ibrahim Sangare,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
BRIJEHS SCORERS,BRIJEHS SCORERS (1),Peter Vindahl,Vangelis Pavlidis,Armando Obispo,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Joey Veerman,Jordan Teze,Pantelis Chatzidiakos,Ritsu Doan,Yukinari Sugawara
BRIJES5628LM,BRIJES5628LM (1),Jesper Karlsson,Vangelis Pavlidis,Bruno Martins Indi,Fredrik Midtsjo,Ibrahim Sangare,Joey Veerman,Pantelis Chatzidiakos,Phillipp Mwene,Ritsu Doan,Yukinari Sugawara,Yvon Mvogo
Brijesh47 RE,Brijesh47 RE (1),Cody Gakpo,Joey Veerman,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Mario Gotze,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
BROKAN HERAT,BROKAN HERAT (1),Phillipp Mwene,Ritsu Doan,Cody Gakpo,Fredrik Midtsjo,Jordan Teze,Jordy Clasie,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Peter Vindahl,Vangelis Pavlidis
